order_id,datetime,region_id,currency_code,product_id,unit_price,quantity,is_online,customer_id,is_new_customer,device_type,payment_method,referral_source,discount_code,customer_note
e7324981-a9f0-419f-b708-d0a333451fff,2026-05-04T08:11:00Z,US-TX,USD,PY-STREAM-005,59.99,3,TRUE,CUST-4150,FALSE,tablet,paypal,paid_search,,Gift for my team
d61943e0-f543-4b5f-9c9a-18605ea4cfe5,2026-05-04T08:23:00Z,US-TX,USD,PY-DATA-002,49.99,1,TRUE,CUST-1106,FALSE,mobile,paypal,paid_search,,Gift for my team
14da1915-8e74-47be-9e10-f7275d31af46,2026-05-04T08:28:00Z,CA-QC,CAD,PY-NLP-006,54.99,1,TRUE,CUST-2133,FALSE,desktop,paypal,organic,,Learning at my own pace
1ecfc8b-998c-4f43-8a66-19e1fa7d5fa8,2026-05-04T08:54:00Z,CA-ON,CAD,PY-SQL-004,forty-four,1,TRUE,CUST-8062,FALSE,tablet,paypal,organic,,
d77ed935-9b28-431d-bc25-0a3fd98f4154,2026-05-04T08:40:00Z,US-CA,USD,PY-STREAM-005,59.99,1,TRUE,CUST-5333,FALSE,mobile,paypal,organic,,Highly recommend
24b91995-25f8-4ad7-8fa6-2e4c15750e5e,2026-05-04T08:41:00Z,US-MO,USD,PY-VIZ-003,39.99,1,TRUE,CUST-8573,FALSE,mobile,apple_pay,paid_search,,Learning at my own pace
1ec0fc8b-998c-4f43-8a66-19e1fa7d5fa8,2026-05-04T08:54:00Z,CA-ON,CAD,PY-SQL-004,44.99,1,TRUE,CUST-8062,FALSE,tablet,paypal,organic,,
392dd49b-b385-499c-9b4a-a38387fa39ae,2026-05-04T09:07:00Z,CA-ON,CAD,PY-INTRO-001,29.99,1,FALSE,CUST-9348,FALSE,desktop,credit_card,paid_search,,For my study group
02782ab7-dd7d-4ebe-8abc-ef81cdc4193b,2026-05-04T09:15:00Z,US-CA,USD,PY-VIZ-003,39.99,1,TRUE,CUST-5889,FALSE,tablet,paypal,organic,,
67bd3492-cc96-429a-9a91-1b4d2132d261,2026-05-04T09:19:00Z,CA-ON,CAD,PY-VIZ-003,39.99,1,TRUE,CUST-4770,FALSE,desktop,credit_card,paid_search,,Excellent content
0a021628-6937-4876-8875-b00c07a39e0f,2026-05-04T09:37:00Z,MX-CMX,MXN,PY-DATA-002,49.99,1,TRUE,CUST-6168,FALSE,desktop,paypal,organic,,
b05fc600-a5fc-4826-934c-cc1f188b0715,2026-05-04T09:42:00Z,US-MO,USD,PY-DATA-002,49.99,3,TRUE,CUST-3340,FALSE,tablet,credit_card,organic,,Recommended by a colleague
03d437fb-6966-47ad-a67a-728630c8b3f8,2026-05-04T10:06:00Z,US-MO,USD,PY-INTRO-001,29.99,1,TRUE,CUST-8668,FALSE,mobile,apple_pay,email,,
6914aea4-448f-4dc1-b68f-0fe4a2c06188,2026-05-04T10:15:00Z,US-TX,USD,PY-DATA-002,49.99,1,TRUE,CUST-2827,FALSE,tablet,credit_card,organic,,Learning at my own pace
e1adb233-3aa8-4d60-9684-1ddf52e9d656,2026-05-04T10:16:00Z,US-MO,USD,PY-STREAM-005,59.99,5,FALSE,CUST-4295,FALSE,desktop,paypal,organic,,For my study group
80e9a9ea-9add-4d51-981a-d26aaacd4dc9,2026-05-04T10:30:00Z,US-MO,USD,PY-DATA-002,49.99,1,TRUE,CUST-8953,FALSE,desktop,credit_card,social,,For my study group
68920c43-44f0-4e51-bd21-7904c9427810,2026-05-04T10:43:00Z,CA-ON,CAD,PY-INTRO-001,29.99,1,TRUE,CUST-1488,TRUE,mobile,apple_pay,organic,,
d22acb5c-8fa2-437a-be68-16a3407c5919,2026-05-04T10:43:00Z,US-MO,USD,PY-SQL-004,44.99,1,TRUE,CUST-1319,FALSE,desktop,credit_card,social,,Recommended by a colleague
89715d88-8d25-4fee-9179-438fe49ebd60,2026-05-04T11:00:00Z,US-TX,USD,PY-INTRO-001,29.99,1,TRUE,CUST-6977,FALSE,desktop,credit_card,email,,For my study group
733e6b9b-c9e7-49ef-82d8-b976d0df90cc,2026-05-04T11:06:00Z,MX-CMX,MXN,PY-INTRO-001,29.99,1,TRUE,CUST-9099,FALSE,desktop,paypal,paid_search,,Learning at my own pace
267b5686-afa9-4ce6-bf68-4b861afa6a29,2026-05-04T11:10:00Z,US-MO,USD,PY-NLP-006,54.99,5,TRUE,CUST-4878,TRUE,mobile,apple_pay,email,,Learning at my own pace
d6710a67-a351-4185-8d11-3b4e71407f5b,2026-05-04T11:12:00Z,US-TX,USD,PY-STREAM-005,59.99,1,TRUE,CUST-7570,TRUE,mobile,credit_card,email,,Excellent content
cbe8f6e2-a71e-4d62-9004-4dbbf6eb5cfe,2026-05-04T11:15:00Z,US-MO,USD,PY-INTRO-001,29.99,5,FALSE,CUST-8973,FALSE,desktop,credit_card,email,,Expected more content
09bc34b3-c566-400b-bc7b-c114a4a63983,2026-05-04T11:23:00Z,CA-ON,CAD,PY-SQL-004,44.99,1,TRUE,CUST-1158,FALSE,mobile,credit_card,organic,,Love the examples
891a7917-4541-457a-b0d5-45a3cd33a260,2026-05-04T11:27:00Z,US-MO,USD,PY-STREAM-005,59.99,1,TRUE,CUST-1832,FALSE,mobile,apple_pay,organic,,
5c877bff-f1b6-467b-abc4-23b946a24014,2026-05-04T11:28:00Z,CA-QC,CAD,PY-INTRO-001,29.99,1,TRUE,CUST-6974,FALSE,tablet,paypal,email,,For my study group
a62c8c45-e0a4-4697-8ca7-b173c7f4487e,2026-05-04T11:39:00Z,US-MO,USD,PY-INTRO-001,29.99,1,TRUE,CUST-9701,FALSE,mobile,credit_card,organic,,Good but could go deeper
3ae2798c-087b-473c-b120-d2c9d0f7289b,2026-05-04T11:40:00Z,US-TX,USD,PY-INTRO-001,29.99,1,TRUE,CUST-5033,TRUE,tablet,credit_card,organic,,For my study group
fbf2b25f-c658-4716-88e7-e5574bb71a39,2026-05-04T11:41:00Z,CA-ON,CAD,PY-NLP-006,54.99,1,TRUE,CUST-5065,TRUE,tablet,paypal,email,,Good but could go deeper
9eb81520-7ef0-4b18-b6d8-a6083cd5ca58,2026-05-04T11:43:00Z,US-CA,USD,PY-STREAM-005,59.99,1,TRUE,CUST-3414,FALSE,desktop,credit_card,organic,,
2eb467ee-85d9-4ac5-b9d8-376bbba7770b,2026-05-04T11:57:00Z,US-MO,USD,PY-INTRO-001,29.99,1,TRUE,CUST-9785,FALSE,mobile,paypal,social,,Love the examples
b7c4cb3b-3a5d-434c-b737-20be9efb1c72,2026-05-04T12:03:00Z,US-TX,USD,PY-INTRO-001,29.99,1,TRUE,CUST-2604,FALSE,mobile,apple_pay,paid_search,,For my study group
ea5b5880-1df0-4918-8134-bc18553bedaa,2026-05-04T12:08:00Z,CA-ON,CAD,PY-INTRO-001,29.99,1,TRUE,CUST-4728,TRUE,desktop,paypal,paid_search,,Already applying this at work
d71f2498-1b58-4d6c-8613-e03125f655be,2026-05-04T12:23:00Z,US-CA,USD,PY-VIZ-003,39.99,1,TRUE,CUST-7653,FALSE,mobile,apple_pay,social,,
6cf3770d-340a-4b36-a1ff-c0e73ceaaf0e,2026-05-04T12:24:00Z,US-MO,USD,PY-NLP-006,54.99,1,TRUE,CUST-6139,FALSE,tablet,credit_card,social,,Love the examples
5e687b11-93d6-4999-94eb-835827055b4a,2026-05-04T12:30:00Z,US-CA,USD,PY-VIZ-003,39.99,2,TRUE,CUST-2790,FALSE,desktop,credit_card,social,,Very helpful
d611de65-6c4f-4d98-be66-c2024e9b784d,2026-05-04T12:33:00Z,MX-CMX,MXN,PY-VIZ-003,39.99,1,TRUE,CUST-7691,FALSE,tablet,paypal,paid_search,,Very helpful
ee5d541b-b139-427b-bbb6-cca7c33f4552,2026-05-04T12:41:00Z,US-TX,USD,PY-INTRO-001,29.99,5,FALSE,CUST-2200,FALSE,desktop,credit_card,social,,Great course!
13c46aba-5aeb-496f-b169-39b2cb940b18,2026-05-04T12:42:00Z,US-TX,USD,PY-DATA-002,49.99,1,TRUE,CUST-9486,FALSE,mobile,apple_pay,email,,Very helpful
a1ecdada-a22f-43fe-a98b-275327c2b035,2026-05-04T12:51:00Z,US-TX,USD,PY-SQL-004,44.99,1,TRUE,CUST-4228,FALSE,desktop,credit_card,organic,,
be4612b4-429e-4573-8a1a-1b2b7cbcc28e,2026-05-04T12:58:00Z,US-MO,USD,PY-INTRO-001,29.99,1,TRUE,CUST-8251,FALSE,desktop,credit_card,email,,
4f68b52f-5f79-48aa-8984-dfffe3c6f167,2026-05-04T13:17:00Z,US-CA,USD,PY-INTRO-001,29.99,1,TRUE,CUST-5956,FALSE,tablet,credit_card,email,,Slower than I expected
52b2092c-89bb-428b-a7a4-2b024e7c8521,2026-05-04T13:20:00Z,US-CA,USD,PY-STREAM-005,59.99,1,TRUE,CUST-8752,FALSE,mobile,paypal,paid_search,,Good but could go deeper
baabebfe-7225-412e-ad8e-25d8eea97659,2026-05-04T13:28:00Z,US-TX,USD,PY-SQL-004,44.99,2,TRUE,CUST-5351,FALSE,desktop,credit_card,paid_search,,Recommended by a colleague
5e3bb592-7961-42ae-b9d0-7460a9187473,2026-05-04T13:36:00Z,CA-ON,CAD,PY-NLP-006,54.99,4,TRUE,CUST-2891,FALSE,desktop,paypal,paid_search,,Recommended by a colleague
98e30deb-4608-4d70-80d6-6dfc3488abe0,2026-05-04T13:36:00Z,CA-QC,CAD,PY-STREAM-005,59.99,1,TRUE,CUST-5050,FALSE,desktop,paypal,paid_search,,Worth every penny
c63829e5-d98f-4d61-94ff-9eee84858af9,2026-05-04T13:43:00Z,CA-ON,CAD,PY-DATA-002,49.99,1,TRUE,CUST-9849,FALSE,desktop,credit_card,paid_search,,
e6093d4b-9f32-463a-a245-85f0c8e47fb9,2026-05-04T14:17:00Z,US-CA,USD,PY-SQL-004,44.99,3,TRUE,CUST-8135,FALSE,desktop,paypal,organic,,Slower than I expected
76698ca8-703d-4ed1-ab59-159cee460b3a,2026-05-04T14:20:00Z,US-MO,USD,PY-INTRO-001,29.99,1,TRUE,CUST-7883,FALSE,desktop,credit_card,organic,,
cdda7ee3-ba67-43ec-b342-66905d02c519,2026-05-04T14:20:00Z,CA-ON,CAD,PY-VIZ-003,39.99,2,TRUE,CUST-5051,FALSE,mobile,paypal,organic,,Highly recommend
88e83571-ace3-4960-bbff-a31700bda114,2026-05-04T14:26:00Z,US-CA,USD,PY-STREAM-005,59.99,1,TRUE,CUST-7071,FALSE,desktop,paypal,email,,For my study group
468f9779-61c8-4918-8282-4e070ae8705b,2026-05-04T14:41:00Z,US-MO,USD,PY-NLP-006,54.99,2,TRUE,CUST-4978,FALSE,mobile,paypal,paid_search,,
d9ec6a6e-8155-4ce8-96c5-446f4dd41c2e,2026-05-04T14:42:00Z,MX-CMX,MXN,PY-STREAM-005,59.99,1,TRUE,CUST-3223,FALSE,tablet,paypal,social,,For my study group
fe65e48b-ac48-4d17-b9ff-bfa9c123bab8,2026-05-04T14:45:00Z,MX-CMX,MXN,PY-STREAM-005,59.99,3,TRUE,CUST-6280,FALSE,mobile,credit_card,paid_search,,
603a792d-8dad-446d-95b3-e77b11452681,2026-05-04T14:46:00Z,US-CA,USD,PY-VIZ-003,39.99,1,FALSE,CUST-2402,FALSE,mobile,credit_card,paid_search,,Learning at my own pace
